MasterNLC,MasterASC,UniqueStationName,PrimaryNaptanStopArea
545,CHPu,Chiswick Park,940GZZLUCWP
546,CWDu,Chorleywood,910GCHRW
9460,CSTt,Church Street,940GZZCRCHR
5121,CTKr,City Thameslink,910GCTMSLNK
547,CPCu,Clapham Common,940GZZLUCPC
5301,CLPr,Clapham High Street,910GCLPHHS
5595,CLJr,Clapham Junction,910GCLPHMJC
548,CPNu,Clapham North,940GZZLUCPN
549,CPSu,Clapham South,940GZZLUCPS
6926,CPTr,Clapton,910GCLAPTON
5048,CLKr,Clock House,910GCLOCKHS
550,CFSu,Cockfosters,940GZZLUCKS
551,COLu,Colindale,940GZZLUCND
552,CLWu,Colliers Wood,940GZZLUCSD
9464,COOt,Coombe Lane,940GZZCRCOO
5408,CDSr,Coulsdon South,910GCOLSDNS
5382,CDNr,Coulsdon Town,910GCOLSTWN
553,COVu,Covent Garden,940GZZLUCGN
5100,CRYr,Crayford,910GCRFD
6007,CWHr,Crews Hill,910GCRHL
1519,CRIr,Cricklewood,910GCRKLWD
5078,CFTr,Crofton Park,910GCFPK
854,CROd,Crossharbour,940GZZDLCLA
7406,CRHr,Crouch Hill,910GCROUCHH
554,CRXu,Croxley,940GZZLUCXY
5356,CYPr,Crystal Palace,910GCRYSTLP
6008,CUFr,Cuffley,910GCUFFLEY
887,CUHd,Custom House DLR,940GZZDLCUS
879,CUSd,Cutty Sark,940GZZDLCUT
893,CYPd,Cyprus,940GZZDLCYP
7440,DDKr,Dagenham Dock,910GDGNHMDC
555,DGEu,Dagenham East,940GZZLUDGE
556,DGHu,Dagenham Heathway,940GZZLUDGY
1443,DLJr,Dalston Junction,910GDALS
1429,DLKr,Dalston Kingsland,910GDALSKLD
5101,DFDr,Dartford,910GDARTFD
557,DEBu,Debden,940GZZLUDBN
5421,DMKr,Denmark Hill,910GDENMRKH
5145,DEPr,Deptford,910GDEPTFD
897,DEBd,Deptford Bridge,940GZZDLDEP
867,DERd,Devons Road,940GZZDLDEV
558,DHLu,Dollis Hill,940GZZLUDOH
3099,DRGr,Drayton Green,910GDRAYGRN
6000,DYPr,Drayton Park,910GDRYP
9468,DDRt,Dundonald Road,940GZZCRDDR
560,EBYu,Ealing Broadway,910GEALINGB
561,ECMu,Ealing Common,940GZZLUECM
562,ECTu,Earl's Court,940GZZLUECT
5584,EADr,Earlsfield,910GERLFLD
5414,ELDr,Earlswood,910GEARLSWD
563,EACu,East Acton,940GZZLUEAN
5355,ECRr,East Croydon,910GECROYDN
9470,ECRt,East Croydon Trams,940GZZCRECR
5358,EDWr,East Dulwich,910GEDULWCH
565,EFYu,East Finchley,940GZZLUEFY
566,EHMu,East Ham,940GZZLUEHM
883,EAId,East India,940GZZDLEIN
567,EPYu,East Putney,940GZZLUEPY
564,ETEu,Eastcote,940GZZLUEAE
5056,EDNr,Eden Park,910GEDPK
568,EDGu,Edgware,940GZZLUEGW
774,ERBu,Edgware Road (Bak),940GZZLUERB
569,ERDu,Edgware Road (DIS),940GZZLUERC
6941,EDRr,Edmonton Green,910GEDMNGRN
570,ELEu,Elephant & Castle LU,940GZZLUEAC
5246,EPHr,Elephant & Castle NR,910GELPHNAC
571,EPKu,Elm Park,940GZZLUEPK
5049,ELEr,Elmers End,910GELMERSE
9471,ELMt,Elmers End Trams,940GZZCRELM
5135,ESDr,Elmstead Woods,910GELMW
1542,ELSr,Elstree & Borehamwood,910GELTR
5103,ELWr,Eltham,910GELTHAM
898,ELRd,Elverson Road,940GZZDLELV
542,EMBu,Embankment,940GZZLUEMB
7473,EMPr,Emerson Park,910GEMRSPKH
6010,ENCr,Enfield Chase,910GENFC
6815,ENLr,Enfield Lock,910GENFLDLK
6959,ENFr,Enfield Town,910GENFLDTN
572,EPPu,Epping,940GZZLUEPG
5360,EPSr,Epsom,910GEPSM
5361,EPDr,Epsom Downs,910GEPSDNS
5104,ERHr,Erith,910GERITH
6004,EXRr,Essex Road,910GESSEXRD
574,EUSu,Euston LU,940GZZLUEUS
1444,EUSr,Euston NR,910GEUSTON
575,ESQu,Euston Square,940GZZLUESQ
5415,EWEr,Ewell East,910GEWELLE
5586,EWWr,Ewell West,910GEWELW
576,FLPu,Fairlop,940GZZLUFLP
5137,FCNr,Falconwood,910GFALCNWD
577,FARu,Farringdon,910GFRNDNLT
5559,FELr,Feltham,910GFELTHAM
7490,FSTr,Fenchurch Street,910GFENCHRS
9472,FLWt,Fieldway,940GZZCRFLD
578,FYCu,Finchley Central,940GZZLUFYC
579,FRDu,Finchley Road,940GZZLUFYR
1445,FNYr,Finchley Road & Frognal,910GFNCHLYR
580,FPKu,Finsbury Park,940GZZLUFPK
6876,FOGr,Forest Gate,910GFRSTGT
5362,FOHr,Forest Hill,910GFORESTH
581,FBYu,Fulham Broadway,940GZZLUFBY
5587,FLWr,Fulwell,910GFULWELL
894,GARd,Gallions Reach,940GZZDLGAL
582,GHLu,Gants Hill,940GZZLUGTH
5416,GTWr,Gatwick Airport,910GGTWK
9473,GSTt,George Street,940GZZCRCEN
6877,GDPr,Gidea Park,910GGIDEAPK
5363,GIPr,Gipsy Hill,910GGIPSYH
583,GRDu,Gloucester Road,940GZZLUGTR
584,GGRu,Golders Green,940GZZLUGGN
585,GHRu,Goldhawk Road,940GZZLUGHK
586,GSTu,Goodge Street,940GZZLUGDG
6878,GMYr,Goodmayes,910GGODMAYS
6028,GDHr,Gordon Hill,910GGORDONH
1409,GPOr,Gospel Oak,910GGOSPLOK
587,GRHu,Grange Hill,940GZZLUGGH
6029,GPKr,Grange Park,910GGRPK
9474,GVHt,Gravel Hill,940GZZCRGRA
7443,GRYr,Grays,910GGRAYS
588,GPSu,Great Portland Street,940GZZLUGPS
590,GPKu,Green Park,940GZZLUGPK
589,GFDu,Greenford,910GGFORD
928,GREd,Greenwich,910GGNWH
5139,GRPr,Grove Park,910GGRVPK
591,GUNu,Gunnersbury,910GGNRSBRY
5364,HCBr,Hackbridge,910GHKBG
6977,HKCr,Hackney Central,910GHACKNYC
6867,HACr,Hackney Downs,910GHAKNYNM
6978,HKWr,Hackney Wick,910GHACKNYW
6075,HDWr,Hadley Wood,910GHADLYWD
1022,HGGr,Haggerston,910GHAGGERS
592,HAIu,Hainault,940GZZLUHLT
593,HMDu,Hammersmith (DIS),940GZZLUHSD
773,HMSu,Hammersmith (H&C),940GZZLUHSC
594,HMPu,Hampstead,940GZZLUHTD
1413,HDHr,Hampstead Heath,910GHMPSTDH
5560,HMPr,Hampton,910GHAMPTON
5561,HMCr,Hampton Court,910GHCRT
5589,HMWr,Hampton Wick,910GHAMWICK
595,HLNu,Hanger Lane,940GZZLUHGR
3191,HANr,Hanwell,910GHANWELL
596,HARu,Harlesden,910GHARLSDN
6879,HROr,Harold Wood,910GHRLDWOD
1543,HPDr,Harpenden,910GHRPNDN
6012,HGYr,Harringay,910GHRGY
7401,HRYr,Harringay Green Lanes,910GHRGYGL
9475,HRDt,Harrington Road,940GZZCRHAR
597,HAWu,Harrow & Wealdstone,910GHROW
598,HOHu,Harrow-on-the-Hill,910GHAROOTH
1398,HTEr,Hatch End,910GHTCHEND
6070,HATr,Hatfield,910GHATFILD
779,HTXu,Hatton Cross,940GZZLUHNX
5289,HYRr,Haydons Road,910GHYDNSRD
3186,HAYr,Hayes & Harlington,910GHAYESAH
5050,HYSr,Hayes (Kent),910GHAYS
1434,HDLr,Headstone Lane,910GHEDSTNL
7091,HAFr,Heathrow Terminal 4 EL,910GHTRWTM4
781,HRFu,Heathrow Terminal 4 LU,940GZZLUHR4
9846,HWVr,Heathrow Terminal 5 EL,910GHTRWTM5
783,HRVu,Heathrow Terminal 5 LU,940GZZLUHR5
780,HRCu,Heathrow Terminals 123 LU,940GZZLUHRC
7090,HXXr,Heathrow Terminals 2 & 3 EL,910GHTRWAPT
1522,HENr,Hendon,910GHDON
601,HNDu,Hendon Central,940GZZLUHCL
5066,HNHr,Herne Hill,910GHERNEH
855,HEQd,Heron Quays,940GZZDLHEQ
6818,HFEr,Hertford East,910GHERTFDE
6085,HFNr,Hertford North,910GHFDN
602,HBTu,High Barnet,940GZZLUHBT
605,HSTu,High Street Kensington,940GZZLUHSK
6919,HIPr,Highams Park,910GHGHMSPK
603,HBYu,Highbury & Islington,910GHGHI
604,HIGu,Highgate,940GZZLUHGT
606,HDNu,Hillingdon,940GZZLUHGD
5107,HGRr,Hither Green,910GHTHRGRN
607,HOLu,Holborn,940GZZLUHBN
608,HPKu,Holland Park,940GZZLUHPK
609,HRDu,Holloway Road,940GZZLUHWY
6979,HMNr,Homerton,910GHOMRTON
5418,HPAr,Honor Oak Park,910GHONROPK
5365,HORr,Horley,910GHORLEY
610,HCHu,Hornchurch,940GZZLUHCH
6015,HRNr,Hornsey,910GHRNSY
5563,HOUr,Hounslow,910GHOUNSLW
611,HNCu,Hounslow Central,940GZZLUHWC
612,HNEu,Hounslow East,940GZZLUHWE
613,HNWu,Hounslow West,940GZZLUHWT
1023,HOXr,Hoxton,910GHOXTON
614,HPCu,Hyde Park Corner,940GZZLUHPC
615,ICKu,Ickenham,940GZZLUICK
6881,IFDr,Ilford,910GILFORD
9586,IMWr,Imperial Wharf,910GCSEAH
856,ISGd,Island Gardens,940GZZDLISL
5592,ISLr,Isleworth,910GISLEWTH
3170,IVRr,Iver,910GIVER
5419,KLYr,Kenley,910GKNLY
616,KENu,Kennington,940GZZLUKNG
617,KGNu,Kensal Green,910GKENSLG
1448,KNRr,Kensal Rise,910GKENR
618,OLYu,Kensington (Olympia),910GKENOLYM
5080,KTHr,Kent House,910GKENTHOS
619,KTNu,Kentish Town,910GKNTSHTN
1449,KTWr,Kentish Town West,910GKNTSHTW
620,KETu,Kenton,910GKTON
5593,KWBr,Kew Bridge,910GKEWBDGE
621,KEWu,Kew Gardens,910GKEWGRDN
5108,KDBr,Kidbrooke,910GKIDBROK
622,KILu,Kilburn,940GZZLUKBN
1415,KBNr,Kilburn High Road,910GKLBRNHR
623,KPKu,Kilburn Park,940GZZLUKPK
523,KGVd,King George V,940GZZDLKGV
9476,KHDt,King Henry's Drive,940GZZCRKGH
6121,KGXr,King's Cross,910GKNGX
625,KXXu,King's Cross St. Pancras,940GZZLUKSX
624,KBYu,Kingsbury,940GZZLUKBY
5565,KNGr,Kingston,910GKGSTON
5366,KNDr,Kingswood,910GKGWD
626,KNBu,Knightsbridge,940GZZLUKNB
5109,KCKr,Knockholt,910GKNCKHLT
627,LGRu,Ladbroke Grove,940GZZLULAD
5057,LADr,Ladywell,910GLDYW
628,LAMu,Lambeth North,940GZZLULBN
629,LANu,Lancaster Gate,940GZZLULGT
853,LAPd,Langdon Park,940GZZDLLDP
3171,LNYr,Langley,910GLANGLEY
630,LATu,Latimer Road,940GZZLULRD
6927,LEBr,Lea Bridge,910GLEABDGE
9477,LEBt,Lebanon Road,940GZZCRLEB
5110,LEEr,Lee,910GLEEE
631,LSQu,Leicester Square,940GZZLULSQ
940,LEWd,Lewisham DLR,940GZZDLLEW
5051,LEWr,Lewisham NR,910GLEWISHM
632,LEYu,Leyton,940GZZLULYN
7402,LEMr,Leyton Midland Road,910GLEYTNMR
633,LYSu,Leytonstone,940GZZLULYS
7403,LERr,Leytonstone High Road,910GLYTNSHR
862,LIMd,Limehouse DLR,940GZZDLLIM
7491,LHSr,Limehouse NR,910GLIMHSE
634,LSTu,Liverpool Street LU,940GZZLULVT
6965,LSTr,Liverpool Street NR,910GLIVST
9478,LPKt,Lloyd Park,940GZZCRLOY
635,LONu,London Bridge LU,940GZZLULNB
5148,LBGr,London Bridge NR,910GLNDNBDC
533,LCAd,London City Airport,940GZZDLLCA
6966,LOFr,London Fields,910GLONFLDS
5082,LGJr,Loughborough Junction,910GLBGHJN
636,LTNu,Loughton,940GZZLULGN
5053,LSYr,Lower Sydenham,910GLSYDNHM
3645,LTNr,Luton Airport Parkway,910GLUTOAPY
637,MDVu,Maida Vale,940GZZLUMVL
3147,MAIr,Maidenhead,910GMDNHEAD
5599,MALr,Malden Manor,910GMALDENM
638,MNRu,Manor House,940GZZLUMRH
6883,MNPr,Manor Park,910GMANRPK
639,MANu,Mansion House,940GZZLUMSH
640,MARu,Marble Arch,940GZZLUMBA
6970,MYLr,Maryland,910GMRYLAND
641,MYBu,Marylebone LU,940GZZLUMYB
1475,MYBr,Marylebone NR,910GMARYLBN
5149,MZHr,Maze Hill,910GMAZEH
6599,MRWr,Meridian Water,910GMWRWSTN
5475,MHMr,Merstham,910GMERSTHM
9479,MPKt,Merton Park,940GZZCRMTP
642,MLEu,Mile End,940GZZLUMED
1527,MILr,Mill Hill Broadway,910GMLHB
643,MHEu,Mill Hill East,940GZZLUMHL
9480,MTMt,Mitcham,940GZZCRMCH
5069,MTCr,Mitcham Eastfields,910GESTFLDS
5427,MIJr,Mitcham Junction,910GMITCHMJ
9481,MTJt,Mitcham Junction Trams,940GZZCRMJT
646,MPKu,Moor Park,940GZZLUMPK
645,MGTu,Moorgate,910GMRGT
647,MORu,Morden,940GZZLUMDN
9482,MRDt,Morden Road,940GZZCRMDN
5291,MDSr,Morden South,910GMORDENS
648,MCRu,Mornington Crescent,940GZZLUMTC
5600,MTLr,Mortlake,910GMRTLKE
5645,MOTr,Motspur Park,910GMOTSPRP
5118,MTGr,Mottingham,910GMOTNGHM
857,MUDd,Mudchute,940GZZDLMUD
649,NEAu,Neasden,940GZZLUNDN
9484,NADt,New Addington,940GZZCRNWA
6018,NBAr,New Barnet,910GNBARNET
5058,NBCr,New Beckenham,910GNBCKNHM
5150,NWXr,New Cross,910GNWCROSS
5345,NXGr,New Cross Gate,910GNEWXGTE
5119,NEHr,New Eltham,910GNWELTHM
5567,NEMr,New Malden,910GNEWMLDN
6019,NSGr,New Southgate,910GNEWSGAT
650,NEPu,Newbury Park,940GZZLUNBP
831,NIEu,Nine Elms,940GZZNEUGST
5568,NBTr,Norbiton,910GNRBITON
5428,NRBr,Norbury,910GNORBURY
653,NACu,North Acton,940GZZLUNAN
5429,NDLr,North Dulwich,910GNDULWCH
654,NELu,North Ealing,940GZZLUNEN
789,NOGu,North Greenwich,940GZZLUNGW
656,NHRu,North Harrow,940GZZLUNHA
5601,NSHr,North Sheen,910GNSHEEN
659,NWBu,North Wembley,910GNWEMBLY
655,NFDu,Northfields,940GZZLUNFD
657,NHTu,Northolt,940GZZLUNHT
1478,NLTr,Northolt Park,910GNTHOLTP
6971,NUMr,Northumberland Park,910GNMBRLPK
