MasterNLC,MasterASC,UniqueStationName,PrimaryNaptanStopArea
5155,SUPr,Sundridge Park,910GSNDP
5571,SURr,Surbiton,910GSURBITN
1083,SQEr,Surrey Quays,910GSURREYQ
5385,SUOr,Sutton (Surrey),910GSUTTON
5436,SUCr,Sutton Common,910GSUTTONC
5075,SAYr,Swanley,910GSWLY
723,SWCu,Swiss Cottage,940GZZLUSWC
5437,SYDr,Sydenham,910GSYDENHM
5085,SYHr,Sydenham Hill,910GSYDNHMH
5609,SYLr,Syon Lane,910GSYONLA
5386,TADr,Tadworth,910GTADWTH
3151,TAPr,Taplow,910GTAPLOW
5387,TATr,Tattenham Corner,910GTATNHMC
5572,TEDr,Teddington,910GTEDNGTN
724,TEMu,Temple,940GZZLUTMP
5610,THDr,Thames Ditton,910GTDITTON
6949,TEOr,Theobalds Grove,910GTHBLDSG
9491,TPLt,Therapia Lane,940GZZCRTPA
725,THBu,Theydon Bois,940GZZLUTHB
5388,TTHr,Thornton Heath,910GTHTH
5573,TOLr,Tolworth,910GTOLWTH
5389,TOOr,Tooting,910GTOOTING
726,TBEu,Tooting Bec,940GZZLUTBC
727,TBYu,Tooting Broadway,940GZZLUTBY
728,TCRu,Tottenham Court Road,940GZZLUTCR
729,TTHu,Tottenham Hale LU,940GZZLUTMH
6951,TOMr,Tottenham Hale NR,910GTTNHMHL
730,TOTu,Totteridge & Whetstone,940GZZLUTAW
864,TOGd,Tower Gateway,940GZZDLTWG
731,THLu,Tower Hill,940GZZLUTWH
733,TPKu,Tufnell Park,940GZZLUTFP
5390,TUHr,Tulse Hill,910GTULSEH
6952,TURr,Turkey Street,910GTURKYST
734,TGRu,Turnham Green,940GZZLUTNG
735,TPLu,Turnpike Lane,940GZZLUTPN
5574,TWIr,Twickenham,910GTWCKNHM
3155,TWYr,Twyford,910GTWYFORD
736,UPMu,Upminster,910GUPMNSTR
737,UPBu,Upminster Bridge,940GZZLUUPB
738,UPYu,Upney,940GZZLUUPY
1524,UHLr,Upper Holloway,910GUPRHLWY
5391,UWLr,Upper Warlingham,910GUWRLNGH
739,UPKu,Upton Park,940GZZLUUPK
740,UXBu,Uxbridge,940GZZLUUXB
777,VUXu,Vauxhall LU,940GZZLUVXL
5597,VXHr,Vauxhall NR,910GVAUXHLM
741,VICu,Victoria LU,940GZZLUVIC
5426,VICr,Victoria NR,910GVICTRIC
5392,WDOr,Waddon,910GWADDON
9497,WDMt,Waddon Marsh,940GZZCRWAD
5394,WLTr,Wallington,910GWALNGTN
6823,WLCr,Waltham Cross,910GWALHAMX
742,WALu,Walthamstow Central,910GWLTWCEN
7407,WMWr,Walthamstow Queen's Road,910GWLTHQRD
9498,WPKt,Wandle Park,940GZZCRWAN
5395,WSWr,Wandsworth Common,910GWANDCMN
5372,WWRr,Wandsworth Road,910GWNDSWRD
5576,WNTr,Wandsworth Town,910GWDWTOWN
743,WANu,Wanstead,940GZZLUWSD
7408,WNPr,Wanstead Park,910GWNSTDPK
1085,WPEr,Wapping,910GWAPPING
6824,WARr,Ware,910GWARE
745,WSTu,Warren Street,940GZZLUWRR
746,WARu,Warwick Avenue,940GZZLUWKA
5158,WAEr,Waterloo East,910GWLOE
747,WLOu,Waterloo LU,940GZZLUWLO
5598,WATr,Waterloo NR,910GWATRLMN
748,WATu,Watford,940GZZLUWAF
1455,WFHr,Watford High Street,910GWATFDHS
1402,WFJr,Watford Junction,910GWATFDJ
6073,WMGr,Welham Green,910GWELHAMG
9499,WLRt,Wellesley Road,940GZZCRWEL
5128,WLIr,Welling,910GWELLING
6183,WGCr,Welwyn Garden City,910GWLWYNGC
751,WEMu,Wembley Central,910GWMBY
752,WPKu,Wembley Park,940GZZLUWYP
1509,WCXr,Wembley Stadium,910GWEMBLSM
753,WACu,West Acton,940GZZLUWTA
755,WBTu,West Brompton,910GWBRMPTN
5411,WCYr,West Croydon NR,910GWCROYDN
8776,WCRt,West Croydon Trams,940GZZCRWCR
3174,WDTr,West Drayton,910GWDRYTON
5086,WDUr,West Dulwich,910GWDULWCH
3188,WEAr,West Ealing,910GWEALING
756,WFYu,West Finchley,940GZZLUWFN
757,WHMu,West Ham,910GWHAMHL
1421,WHDr,West Hampstead LO,910GWHMDSTD
758,WHDu,West Hampstead LU,940GZZLUWHP
1525,WHPr,West Hampstead NR,910GWHMPSTM
759,WHRu,West Harrow,940GZZLUWHW
866,WIQd,West India Quay,940GZZDLWIQ
760,WKNu,West Kensington,940GZZLUWKN
5438,WNWr,West Norwood,910GWNORWOD
762,WRPu,West Ruislip,910GWRUISLP
559,WSId,West Silvertown,940GZZDLWSV
5293,WSUr,West Sutton,910GWSUTTON
5054,WWIr,West Wickham,910GWWICKHM
754,WBPu,Westbourne Park,940GZZLUWSP
5151,WCBr,Westcombe Park,910GWCOMBEP
865,WESd,Westferry,940GZZDLWFE
761,WMSu,Westminster,940GZZLUWSM
764,WCTu,White City,940GZZLUWCY
6956,WHLr,White Hart Lane,910GWHHRTLA
763,WCLu,Whitechapel,910GWCHAPEL
5611,WTNr,Whitton,910GWHTTON
5396,WHYr,Whyteleafe,910GWHYTELF
5439,WHSr,Whyteleafe South,910GWHYTLFS
765,WLGu,Willesden Green,940GZZLUWIG
766,WJNu,Willesden Junction,910GWLSDJHL
767,WIMu,Wimbledon,910GWIMBLDN
5612,WBOr,Wimbledon Chase,910GWIMLCHS
768,WMPu,Wimbledon Park,940GZZLUWIP
8777,WMBt,Wimbledon Trams,940GZZCRWMB
6024,WIHr,Winchmore Hill,910GWNMHILL
770,WGNu,Wood Green,940GZZLUWOG
599,WDLu,Wood Lane,940GZZLUWLA
6954,WSTr,Wood Street,910GWDST
769,WFDu,Woodford,940GZZLUWOF
7467,WGRr,Woodgrange Park,910GWDGRNPK
5441,WMEr,Woodmansterne,910GWDMNSTR
8779,WDSt,Woodside,940GZZCRWOD
771,WSPu,Woodside Park,940GZZLUWOP
6562,WWCr,Woolwich EL,910GWOLWXR
573,WOAd,Woolwich Arsenal,910GWOLWCHA
5153,WWDr,Woolwich Dockyard,910GWOLWCDY
5579,WCPr,Worcester Park,910GWRCSTRP
3018,BNEr,Bourne End,910GBORNEND
3019,COOr,Cookham,910GCOOKHAM
3144,FZPr,Furze Platt,910GFURZEP
3146,HOTr,Henley-on-Thames,910GHNLYOT
3021,MLWr,Marlow,910GMARLOW
3150,SHIr,Shiplake,910GSHPLAKE
3158,WGVr,Wargrave,910GWARGRAV
3175,WNCr,Windsor & Eton Central,910GWINDSEC
